Respondent_ID,Country,Age,Gender,Education_Level,Work_Experience_Years,Position_Level,Power_Distance,Individualism,Masculinity,Uncertainty_Avoidance,Long_Term_Orientation,Indulgence,Role_Assumption,Production_Emphasis,Initiation_of_Structure,Tolerance_of_Uncertainty,Integration,Consideration,Preferred_Leadership_Behavior,Leadership_Behavior_Encoded
15,USA,33,Male,Bachelor,11,Senior,24.14545027743288,58.36323079142967,63.512479894982185,45.36731919627917,13.9521574068726,89.95590170883764,2,5,1,5,3,3,Supportive,1
16,USA,51,Male,Master,13,Senior,62.5782744605544,30.873733536239985,36.0809369321409,48.50343682648568,63.03152381667957,5.105119991096519,2,2,1,5,4,3,Supportive,1
17,JPN,25,Female,Bachelor,1,Mid,69.81972914361812,58.380410718787225,12.89456460282148,78.52058957330885,74.89224227793437,10.7296530681676,2,4,1,2,1,2,Laissez-Faire,0
18,BRA,47,Female,High School,31,Executive,52.281876154572615,88.21411404505956,19.89637153687145,64.00474520983055,92.31026529824209,68.56091145034215,3,2,1,3,5,2,Supportive,1
19,BRA,34,Male,High School,33,Mid,83.83217767689061,64.16301542776375,62.39193105468752,73.46808325370522,0.3013856571873141,37.77044152705974,2,4,5,4,1,3,Supportive,1
20,JPN,49,Female,Bachelor,21,Mid,74.93595488030401,51.4398809234803,29.19314425775859,32.66546568601506,6.666041121398914,28.161843799359243,5,5,2,1,3,1,Supportive,1
21,IND,27,Other,High School,16,Mid,98.8672336757488,77.92727415577028,60.48282980677372,82.95813377827349,89.94056619763349,17.859328346235614,1,3,1,1,5,2,Laissez-Faire,0
22,USA,30,Female,Bachelor,23,Executive,31.031598663974293,34.89757399565061,43.18577328010296,45.631305513202776,63.11555395195846,57.26362767712831,4,4,4,1,5,1,Supportive,1
23,JPN,30,Female,Master,10,Junior,24.665253147400108,49.00285015788393,65.41707711009974,69.58890137261386,95.79102764321556,34.75323955906136,2,4,2,5,5,2,Transactional,2
24,JPN,26,Male,Bachelor,33,Junior,41.984296445551024,56.94375242675932,49.43588977483841,29.174386019360696,43.08445941220696,50.79608261113848,2,2,1,2,2,1,Laissez-Faire,0
25,BRA,42,Male,Master,22,Junior,21.524015625347523,55.31779244355288,34.68376777289368,45.71361929255736,41.66871702497074,95.85612282138143,2,5,3,5,3,4,Transactional,2
26,IND,47,Male,Bachelor,6,Junior,94.60891422932102,84.46807284478066,21.665534388608148,71.90938344533134,34.42645793973716,75.82676456658153,1,2,3,2,3,5,Supportive,1
27,USA,26,Female,Master,10,Mid,44.31613269505404,40.4867675072673,37.287860193702414,41.93649058322005,14.281892386971617,79.59508692733579,2,5,5,3,1,3,Supportive,1
28,BRA,36,Female,High School,16,Senior,64.19441335771671,23.95526045107337,60.79152623414025,90.42497573998536,37.86329089477688,12.41979030630248,2,4,3,5,4,4,Transactional,2
29,BRA,46,Male,PhD,13,Mid,45.44557063029935,84.14640431596193,69.23788041579483,72.89827195547363,1.464854019363793,32.49803187968916,2,3,5,2,5,3,Transactional,2
30,USA,44,Male,Master,20,Junior,39.66468975910588,35.194735999683985,22.827173987199245,89.62227146374366,50.93132848736548,10.6235472022869,1,5,5,3,5,1,Transactional,2
31,IND,48,Male,Bachelor,4,Senior,32.1891779179904,46.53195817836952,63.14179271104937,51.63125618008966,84.72102071182454,96.85209301540642,4,4,5,5,5,2,Transformational,3
32,USA,44,Male,High School,20,Mid,45.62927362633084,57.1624137162654,24.342360772120983,22.718811409974,32.11967536906148,68.21876151332016,5,3,2,1,3,2,Supportive,1
33,USA,25,Other,High School,22,Mid,69.23351443263797,88.31163293837494,27.74554747919868,66.09119706840822,9.464015652135693,1.9233837504258,1,2,2,3,5,2,Supportive,1
34,NGA,25,Female,Master,29,Mid,97.72969597500224,57.468790914001865,52.5053792224012,47.13548021802978,97.37613233539568,47.550482182113576,2,2,3,5,3,5,Transactional,2
35,NGA,41,Male,Bachelor,16,Senior,64.64736322937196,51.342031458393535,33.13618415808598,55.85507007378826,12.897760888102583,26.35256365508287,3,5,2,2,4,5,Transactional,2
36,NGA,25,Female,Bachelor,23,Mid,62.61672528792041,60.85469356623527,62.92763529891892,74.4888171138199,52.869749677949926,53.995885126707286,1,5,1,1,4,3,Supportive,1
37,JPN,54,Female,Bachelor,30,Junior,22.821041448411748,87.95657119419964,86.46212993932306,76.05317336566974,80.91856872541197,17.865768647186364,2,5,5,2,3,2,Supportive,1
38,USA,27,Female,Master,30,Mid,87.20792125341542,77.25612191295083,21.91137610699154,22.20451318926523,25.23452073952678,5.685549063165762,2,2,1,4,5,4,Supportive,1
39,IND,35,Male,Master,3,Senior,23.58730999980586,31.82776954183455,55.64086658475333,81.54421382716907,84.1489539895631,32.3177532278316,5,5,2,4,3,3,Transactional,2
40,BRA,48,Male,Bachelor,24,Mid,92.49858192827833,76.22820104329463,83.86393461385542,59.48151319648631,55.70251407068214,29.55071107047224,1,4,4,5,5,5,Transactional,2
41,USA,46,Male,Bachelor,13,Junior,63.09373802853743,78.8769341862722,24.12231813212899,64.53590186596401,33.19356798811178,71.69635847313732,1,1,2,3,5,5,Supportive,1
42,BRA,50,Female,Master,32,Junior,33.477328418722834,68.34858727709263,39.34807227078865,43.8395348151882,86.56892161306027,47.45488591095351,5,1,5,3,2,2,Supportive,1
43,USA,37,Female,Master,12,Mid,56.1365913605167,66.0063421417085,19.889346799182974,53.66670288004648,62.20001533129509,29.132780333358365,3,5,4,5,3,5,Transformational,3
44,NGA,25,Female,Bachelor,8,Mid,99.59875845465588,50.86139005934629,61.363017465115874,76.83001071834653,61.53844265877504,57.04305184284607,3,4,4,5,1,1,Supportive,1
45,JPN,48,Male,High School,24,Mid,44.40662816352744,64.91867709836177,63.5314342155761,82.13710423554068,50.4009717136523,7.131738823124079,4,4,5,1,1,5,Transactional,2
46,IND,34,Male,Master,16,Senior,41.5567814838863,71.63024805065804,63.13458555485097,50.96849449343824,27.47374871337327,66.23526117537502,4,4,3,2,4,2,Supportive,1
47,JPN,59,Male,High School,32,Executive,29.440471603400475,28.597417365200933,53.370163869067625,75.28940261210641,30.48604461217445,14.72893667664772,5,3,2,2,5,3,Transactional,2
48,BRA,48,Other,High School,34,Junior,67.77138790326711,38.0130972128405,69.70086942382177,40.643480135075045,8.807907285943061,27.96993693208909,1,4,2,4,5,5,Transactional,2
49,BRA,52,Male,Master,32,Mid,27.138159921117037,33.58573152764058,12.870183710398376,86.56181321420122,24.37237061827452,28.212288717172008,2,2,4,4,2,4,Supportive,1
50,USA,40,Male,Bachelor,17,Junior,81.28064510432617,78.88482858342101,86.60107899562449,68.78513911258922,27.782508604023228,46.585191984330734,3,2,4,5,5,4,Transactional,2
51,NGA,40,Other,Master,2,Senior,93.53788114644463,67.60018140722374,27.76769663434828,82.0149212853516,5.870149263146452,95.31573664299488,1,4,5,3,4,1,Supportive,1
52,IND,41,Female,Bachelor,26,Mid,94.54968889723996,51.55449777026236,19.724957495339478,58.17238818542779,11.031473667912303,32.46592504354285,4,1,5,3,3,3,Supportive,1
53,NGA,39,Female,PhD,17,Junior,28.633300230195022,77.82390253419277,85.29088343535452,38.32874279855642,27.025298853770373,28.13218684709397,3,3,3,1,3,1,Laissez-Faire,0
54,NGA,40,Male,Bachelor,2,Senior,64.6610077882375,70.17469379947575,76.43495330892665,54.33848906509152,67.72525231196906,16.880198529660394,2,2,4,4,4,1,Supportive,1
55,BRA,39,Female,Master,8,Senior,27.768788392173327,83.95151570817077,71.18963354333441,50.51883155826566,18.42349910312261,39.19689000861707,4,2,2,1,2,2,Laissez-Faire,0
56,NGA,58,Male,Bachelor,6,Junior,65.76129131874379,25.376489726854103,18.37965671511853,46.61732347521273,52.18495998878671,18.204111187257062,2,2,5,2,3,2,Supportive,1
57,USA,35,Female,High School,9,Junior,85.19844681676648,55.64101670788647,74.60233709409326,36.97389981931827,50.79032654955288,13.776933631563049,4,3,1,5,4,2,Supportive,1
58,USA,25,Male,Bachelor,1,Mid,63.02321298426278,69.47235325033786,58.721881840782615,80.73337135038449,83.40380796236563,85.73586058147855,2,4,2,3,5,4,Transactional,2
59,USA,39,Male,Master,5,Mid,89.7643060885345,34.5245230763392,68.5526888809476,26.90813290564484,60.91638053915898,5.263873452303535,3,3,4,4,3,5,Transactional,2
60,JPN,50,Female,High School,9,Senior,84.13394838795021,42.89883623799548,88.24562238547139,91.00487439086672,91.69990786938408,71.08251194599853,5,4,5,4,4,3,Transformational,3
61,JPN,28,Female,Bachelor,14,Mid,42.123867995194274,49.32833759238787,25.555294169440018,34.001977831820284,62.81013693154016,20.257090102007112,2,5,5,5,2,2,Transactional,2
62,JPN,29,Female,Bachelor,27,Mid,70.40818263059533,75.60279327894123,50.35055686548241,98.38989214812332,2.5515637799250257,1.1715023287961923,3,2,1,5,3,3,Supportive,1
63,NGA,59,Male,High School,9,Senior,20.592970118090516,54.55033407400366,70.2681557167292,99.07744384696596,38.14920718950064,79.51449587969596,1,1,3,4,2,1,Laissez-Faire,0
64,JPN,37,Male,Master,29,Mid,51.68335327398915,54.50090229934525,44.692508061735865,51.87096329929214,69.90479760561126,70.22855192235235,1,3,2,4,1,5,Supportive,1
65,JPN,34,Female,PhD,20,Mid,39.03681342274361,50.162133298650176,14.372246633456678,99.02568581058104,47.51218944194942,33.42989063743409,4,3,5,3,2,4,Transactional,2
66,BRA,35,Female,Bachelor,15,Mid,94.96930767547887,36.00123625074208,18.91511191004169,89.52548138245811,41.93978698215808,7.933253389047357,5,2,3,3,4,3,Transactional,2
67,USA,42,Other,Bachelor,3,Senior,52.4311209378528,84.61500749289353,58.16735780364982,26.59442215573325,67.15456308958613,36.067156369778665,4,2,1,5,5,5,Transactional,2
68,NGA,58,Female,PhD,23,Junior,72.32515427379845,42.246078445967285,32.800331711260526,95.78628509028944,28.57328796515979,18.13275803018285,2,1,1,2,3,3,Laissez-Faire,0
69,USA,47,Female,Master,9,Junior,78.55852874188858,59.72259625389304,21.027251784207472,23.401150872367538,90.89780316918367,93.2503553371556,5,1,2,2,2,1,Laissez-Faire,0
70,NGA,31,Female,Master,30,Junior,81.85700309452059,30.414581486561453,37.1913598019666,34.55314349912857,41.3143600990584,52.96231022547949,2,2,2,5,3,2,Supportive,1
71,IND,27,Male,High School,19,Senior,78.86201536140231,50.3970374469333,26.07847456358284,66.76764326773394,63.12178109175328,96.38436377269242,3,4,5,5,3,1,Transactional,2
72,USA,36,Male,Bachelor,3,Mid,43.13320487901878,83.26624613184524,11.915157325981951,26.45897427200109,98.23332665701952,35.131412190042745,5,2,5,1,4,3,Transactional,2
73,USA,31,Male,Bachelor,3,Mid,74.88541573833777,89.68256669574144,22.145119085373288,32.938220559149514,78.54802299540283,55.64628186743985,1,1,2,2,4,4,Laissez-Faire,0
74,NGA,50,Male,Bachelor,34,Executive,63.92075858098266,45.32262997134269,80.6462368734138,96.2793429689791,53.162315877149126,19.01234300952195,3,2,2,4,1,3,Supportive,1
75,IND,57,Female,Master,2,Executive,67.7898131838015,30.779338242003483,10.962982600217286,99.57503079100864,85.93875882494352,80.84290940375288,3,1,5,1,5,4,Supportive,1
76,IND,39,Female,Bachelor,27,Executive,20.06516938470039,42.01160687112765,71.90802428752765,83.85092334242378,56.04377184691128,4.11003123694198,2,5,5,1,1,4,Supportive,1
77,IND,26,Female,High School,23,Junior,40.66060807622853,42.90692378709136,70.27688846972669,61.21675131717623,44.16534346279391,69.56154229361279,4,4,5,5,4,3,Transformational,3
78,USA,31,Male,PhD,32,Senior,94.45469573725244,65.11561559976224,55.13901506871914,92.02407485533402,87.34529449979954,39.16600923589073,2,1,1,3,1,3,Laissez-Faire,0
79,JPN,56,Female,Bachelor,18,Mid,43.20608666445806,54.73097071461922,26.67582125666965,28.95190167068549,2.715535689094295,57.84157740250772,3,3,4,1,2,4,Supportive,1
80,USA,28,Male,PhD,27,Junior,55.04124177997141,73.79218097859413,80.24473794401854,95.43134953960072,40.74661367632088,59.22591349165696,5,3,2,5,2,3,Transactional,2
81,NGA,44,Female,Bachelor,11,Mid,34.933918575659284,69.09122991482369,48.00604550351545,48.12423419643458,34.29924665692461,71.07951141343169,1,4,1,1,3,5,Supportive,1
82,IND,56,Male,High School,19,Mid,31.08820415229518,37.59161067476724,23.856498323818837,88.91915129865555,71.40863063620819,20.426220323125957,3,4,5,3,1,4,Transactional,2
83,JPN,52,Female,Bachelor,25,Junior,36.69351749109641,74.89789829200447,44.321807399138095,73.46987247883128,1.258621515381364,53.13859212156312,4,3,4,5,1,4,Transactional,2
84,USA,37,Male,Bachelor,7,Mid,64.29178630935783,79.32233068403713,25.593378219540213,96.82194432445776,66.0852478804474,42.692593639339584,4,5,4,3,4,3,Transactional,2
85,JPN,25,Male,Bachelor,31,Senior,93.52229211120866,61.88731328278012,40.08062729039396,89.17423582366546,34.63612359245782,28.218110886036406,5,5,1,3,1,1,Supportive,1
86,JPN,59,Female,Bachelor,2,Mid,46.09593439169522,84.93673964740033,49.73502168080962,91.0318250840725,9.789337904290464,49.57278227645263,4,1,3,4,3,5,Transactional,2
87,IND,54,Female,Bachelor,5,Mid,45.87263617663768,74.80636859141852,38.792071176164,70.54034848960244,98.03307817355692,95.2015045251085,5,4,3,3,4,3,Transactional,2
88,IND,49,Female,Master,14,Mid,65.13124695094946,61.67771348112393,62.56354192581608,86.65268247810207,21.222873785077116,94.88849471790223,4,3,5,3,3,2,Transactional,2
89,NGA,40,Female,Bachelor,18,Executive,48.53941741545082,83.4316198119331,84.87342432707507,80.57049206090709,34.91299289476336,27.88173199617424,2,4,3,3,2,5,Supportive,1
90,BRA,43,Other,Bachelor,4,Junior,92.83328383871904,62.02509361683773,37.85194781175708,32.92985047231098,20.70465892793793,88.42071649020068,1,3,5,2,4,2,Supportive,1
91,USA,25,Other,Bachelor,24,Mid,50.22784341138095,56.48337891361381,38.459161106918856,71.88775130825945,66.19911972920221,87.6754809387134,1,3,3,4,5,5,Transactional,2
92,IND,29,Female,Bachelor,13,Junior,59.23538020155736,44.9380838287772,69.06419764818123,31.85404372161269,78.2516314068156,24.95846476012755,3,1,1,2,3,4,Laissez-Faire,0
93,IND,46,Female,High School,21,Senior,62.67114271763287,81.80043314161117,52.44727452168678,89.55648975084239,86.0640834641581,59.89507464230511,3,4,4,3,5,5,Transactional,2
94,BRA,48,Male,High School,33,Junior,82.5654236104377,28.59090196109751,44.30715516965929,25.27598394719748,31.09982179441636,86.9935759278425,2,5,2,2,5,3,Supportive,1
95,IND,28,Female,Bachelor,20,Mid,65.1124751531907,53.14518999522195,75.1046550765202,98.96373361546202,52.45533915315163,51.499480195180325,2,4,4,5,3,2,Transactional,2
96,BRA,42,Male,Bachelor,5,Mid,39.13240801178593,57.618933231251525,81.2828853753129,52.05013329101692,66.3257624856191,36.97694669010072,1,3,3,2,4,1,Laissez-Faire,0
97,BRA,40,Other,Bachelor,24,Senior,29.918976530109383,58.832437473884376,57.24692848377469,33.65034829611485,62.952097512039096,65.07854302432061,3,5,4,5,5,2,Transactional,2
98,BRA,42,Male,PhD,30,Junior,95.02196373511713,65.63228813396702,24.808261820440485,94.85399869289785,71.60271936158054,17.242506344317032,3,3,3,1,4,4,Supportive,1
99,USA,46,Male,Bachelor,28,Mid,84.1250395711286,55.40569369776709,47.30287112015823,23.634078898387838,76.97273036447547,16.173138162992352,1,4,5,4,5,4,Transactional,2
100,USA,26,Female,Bachelor,7,Junior,21.83721682311326,37.977270334794895,50.34965297185074,57.60845076071868,9.747335607130392,83.26461317742371,5,3,2,2,3,1,Supportive,1
101,USA,45,Male,PhD,30,Executive,85.72231874588381,79.986107729765,44.57658856886876,81.61817023396021,16.831102469166492,4.187491593812576,2,2,5,1,1,5,Supportive,1
102,IND,53,Male,PhD,34,Mid,67.2478235123815,66.02677294848698,30.994550309230743,45.34003803453608,73.4321049514089,80.36299792257493,3,5,2,3,4,5,Transactional,2
103,JPN,50,Female,Master,9,Mid,61.51153880279547,80.07314695972144,47.78574461790836,62.30677359222409,47.66755339098696,29.049415809293155,1,1,5,5,5,4,Transactional,2
104,BRA,45,Female,High School,12,Mid,20.978334321884716,39.32304436862637,45.72369216781517,76.03304130510415,42.7033791072572,48.31224909520323,2,2,5,2,1,1,Laissez-Faire,0
105,NGA,41,Female,Master,29,Mid,82.4691245107532,64.59398264319752,26.75948191615509,96.15811368010569,45.54401250775943,54.3515055047929,1,3,4,1,1,4,Laissez-Faire,0
106,JPN,40,Male,Master,10,Junior,35.84520113930001,69.99216215534766,82.2744521868852,28.2162111416824,37.20260134313603,76.70692734606803,5,4,2,1,1,2,Supportive,1
107,BRA,55,Female,Master,27,Mid,78.23849705552632,46.83836122574869,80.82727606779744,32.57813629719358,59.10675125809927,88.38579865433599,4,3,4,4,3,5,Transactional,2
108,IND,33,Male,Bachelor,19,Executive,21.269459789265383,76.85708827448309,70.76931427604718,60.70967161552535,32.332554265537595,80.42241253964654,3,1,5,3,3,2,Supportive,1
109,JPN,55,Male,High School,13,Mid,83.70829197329489,20.17561423896077,42.07572620898251,53.47799689200375,63.68154005908988,57.23437752804576,2,4,4,4,3,2,Supportive,1
110,USA,38,Female,PhD,32,Senior,21.843157468403245,61.64438251499551,39.62735263137085,52.86369285469331,20.263711551880693,34.80136703493662,1,5,3,2,3,3,Supportive,1
111,JPN,26,Female,Bachelor,15,Junior,38.87143232580152,62.94979292464913,67.31723019167717,43.756920234892256,75.76889136157564,52.6557824958654,1,5,5,3,4,5,Transactional,2
112,USA,38,Female,Bachelor,21,Executive,41.46225700101708,57.36901651270448,58.64953880024551,64.8547838807165,78.15999745742506,3.00216846274719,2,3,3,2,5,4,Supportive,1
113,NGA,57,Female,Bachelor,3,Mid,32.60069104855411,64.10339408436147,58.04786591574063,90.6630668932573,57.8520816224646,24.498011523973563,3,2,5,5,4,4,Transactional,2
114,NGA,59,Male,Bachelor,8,Mid,58.48465569562953,31.705879991628915,19.92892219958853,32.87394724302911,36.93234627495438,36.61553658875793,3,4,3,2,1,2,Supportive,1
115,IND,44,Female,Bachelor,6,Mid,42.69503676933671,67.9347037261663,59.46270242363588,37.22290635966061,1.439657323686161,31.975452415150407,1,2,3,3,5,1,Supportive,1
116,NGA,26,Male,Bachelor,29,Senior,99.46303805818052,43.50522739856657,82.14904088986926,73.66587982396686,12.153247245131338,9.51469407311568,3,3,5,2,5,3,Transactional,2
117,NGA,43,Other,PhD,19,Senior,66.39750346923512,51.643761980314245,16.865317653634673,24.495812342984333,7.968701278866752,5.075408141404458,4,4,3,4,1,3,Supportive,1
118,USA,42,Female,Bachelor,17,Mid,65.31822600433924,43.3176554797388,37.133703925662985,73.90113596504051,1.0205025148865898,42.07147795741529,5,5,2,1,2,2,Supportive,1
119,NGA,40,Female,Bachelor,10,Mid,37.66957040851642,53.17553424496398,50.72114331576579,45.156492069066985,72.2219771900903,7.479975329822319,5,5,3,2,5,3,Transactional,2
120,BRA,28,Female,Master,33,Junior,52.69515509719291,63.50984585582234,64.88075958651896,48.6283145120012,95.6066759936394,28.620805854153385,4,3,5,3,4,3,Transactional,2
121,NGA,36,Female,Bachelor,13,Mid,29.918239548800003,78.68404296268858,17.170794364500097,52.44394990583202,1.1168265298814983,47.4825658753293,3,4,2,4,5,2,Transactional,2
122,NGA,53,Female,Bachelor,27,Mid,81.0023401800309,53.84045403481547,79.82449546310754,47.96700491933719,11.269060179546395,20.99612713581811,1,3,2,3,1,4,Laissez-Faire,0
123,JPN,31,Male,Bachelor,12,Mid,46.49273969227815,42.62566793225223,13.243649632652115,87.29676970236258,86.06758593498712,7.95349263455739,3,5,2,5,1,2,Supportive,1
124,USA,38,Male,High School,2,Mid,80.15726667145682,54.1559315247769,78.6151733445794,95.68547659202471,68.85022494762416,43.213327064579296,2,1,4,1,4,2,Laissez-Faire,0
125,JPN,36,Female,High School,10,Senior,49.73567999435804,68.21625648493608,12.212140469220412,63.84091802529508,40.47103964963029,44.84764984919699,2,2,2,4,1,5,Supportive,1
126,BRA,59,Other,Master,21,Senior,99.10057920918764,44.26905017080569,22.281864346188456,66.55027990679514,99.27965174673156,91.56142963287202,3,3,4,1,5,4,Transactional,2
127,NGA,29,Male,PhD,23,Junior,33.689729780369746,48.99974523063843,74.02590617229387,25.638648641074813,57.362134178999504,12.783764257646713,4,1,1,2,3,2,Laissez-Faire,0
128,NGA,41,Male,Master,1,Senior,20.121911510666504,59.39878719061155,78.81315497630227,77.05535426888005,66.95990127494281,61.49953776776284,2,5,3,1,4,5,Transactional,2
129,USA,56,Male,High School,33,Junior,67.58604331027087,40.5806484679145,88.58126634289805,66.72790983712673,65.31763668355127,31.970256636537098,5,3,4,2,1,3,Supportive,1
130,BRA,34,Female,Bachelor,26,Senior,96.23625600702704,34.63592616811093,19.257186267494014,24.031561904608026,22.27016300888941,12.359783039692152,1,5,5,4,2,1,Supportive,1
131,BRA,41,Male,High School,15,Junior,71.76432439247834,29.82745987042834,52.11608928725053,35.87405336573626,48.81244097774922,39.31471067752528,4,5,2,3,2,4,Transactional,2
132,JPN,29,Male,Bachelor,22,Senior,26.85788181985448,44.6826988188252,16.172466123175244,36.155473631405016,21.64112985503255,42.79375853642152,2,3,5,4,3,5,Transactional,2
133,USA,33,Female,High School,25,Mid,63.238430597298034,23.384003450663997,22.51261007710797,33.67743615546874,50.94645302076236,36.35645142907629,1,1,2,3,5,4,Supportive,1
134,JPN,57,Female,Master,1,Mid,92.7589548910182,60.84377686966511,23.959508632509063,72.69167636982218,3.078121880860618,76.57327409353287,5,3,5,3,3,5,Transactional,2
135,NGA,42,Male,High School,26,Mid,20.520485430401017,32.31365561982672,15.071060116726835,94.27516922846152,38.19591768516924,83.92064699539362,2,5,3,1,5,3,Supportive,1
136,JPN,33,Male,High School,21,Junior,33.352977027023904,46.417635463103,81.43838447426697,81.03802602866875,37.22100728884685,14.873176176321746,2,4,3,3,2,3,Supportive,1
137,BRA,53,Female,Bachelor,24,Junior,85.16492448820931,38.84559707788608,20.108441441148788,58.189878817113055,29.16306218518248,16.790507162963365,1,5,1,5,1,1,Laissez-Faire,0
138,IND,38,Female,High School,16,Mid,91.51256852619863,64.12729764392245,60.3472674409859,52.32410383875855,7.922894216523712,42.12175981433277,1,3,5,5,3,3,Transactional,2
139,JPN,49,Other,Master,32,Senior,76.57284966946168,79.52419630268065,60.0597651650513,50.9166484247378,77.0967060262436,32.01889611015385,3,1,1,1,1,3,Laissez-Faire,0
140,NGA,39,Female,PhD,16,Mid,99.32481309118566,64.33107300918415,25.891616429296977,68.099756615666,42.0454864288032,81.95736053923375,2,5,5,1,2,1,Supportive,1
141,NGA,30,Male,High School,13,Junior,27.217274366925544,57.97534500713757,89.8729008988625,48.73765271556291,81.39731787612435,99.6811203114993,5,1,3,4,5,4,Transactional,2
142,JPN,53,Female,Bachelor,32,Mid,63.654121266924825,66.83586175254294,37.7894218556709,38.08975769509737,83.57272379215588,18.111037143446215,1,1,1,5,1,3,Laissez-Faire,0
143,BRA,39,Male,PhD,24,Mid,74.7995778118069,22.09934464321399,82.40754967707157,68.22743252604664,21.35973899017897,76.25441508398029,4,2,2,5,2,4,Supportive,1
144,JPN,53,Male,Master,13,Mid,76.21157762952703,28.59912626734838,85.8627785802996,51.25643307420585,42.13301137988239,60.72468162166364,2,1,3,3,4,1,Laissez-Faire,0
145,JPN,28,Other,PhD,11,Senior,83.47876922753461,26.644906517973094,85.91910514397571,21.129986331506707,72.09740052090353,64.44240666350147,4,5,4,4,3,2,Transactional,2
146,USA,42,Female,High School,15,Mid,93.41008360795064,26.87380160241488,70.22700700813783,21.778489085341963,49.949615367489656,26.44414690038865,2,5,3,4,5,3,Transactional,2
147,IND,40,Male,Bachelor,10,Junior,48.93131564936917,38.23386006375836,30.304400424958644,41.93092889235346,85.5068230402971,9.719622213912194,1,3,3,4,5,4,Transactional,2
148,BRA,35,Male,High School,3,Junior,23.437071424610867,57.243658226824365,19.65242814482064,60.9937759605491,57.156900771340645,54.32561059013258,3,3,4,2,4,5,Transactional,2
149,USA,38,Male,Bachelor,16,Mid,48.99535315847666,28.027710505972298,55.59079817233774,48.3391606134391,62.958096785856654,61.350584890384205,2,1,5,3,3,5,Supportive,1
150,JPN,27,Male,Master,17,Mid,73.7291810709788,85.45813688325725,38.80313048776084,21.92441219100416,78.70234645447051,96.30489398824702,1,4,4,1,1,2,Laissez-Faire,0
151,NGA,42,Female,High School,25,Junior,37.07648698669148,79.79797618580908,76.48312094553796,37.85214110025923,12.222210762851129,67.52310640888768,1,5,5,4,2,3,Transactional,2
152,JPN,44,Male,Bachelor,30,Executive,84.79783612469683,88.01510476830873,69.59920420934012,27.71354469396929,58.424823791805466,44.368430017152136,1,1,1,3,2,3,Laissez-Faire,0
153,USA,49,Other,Bachelor,13,Mid,37.58115661782647,22.97500315619434,32.11746369387293,95.89056010891332,8.54298687641476,99.40011287889834,4,3,1,3,1,3,Supportive,1
